plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png,date,geometry,index_right,cluster,latitude,longitude
tan20260131t120930c78s4001-A,40.321826732492354,-3.585079182955241,2026-01-31T12:09:30+00:00,Solid Waste (6A),CH4,mfa,"[-3.5988873243845676, 40.30603855260439, -3.5589092826890987, 40.336788609330675]",tan,production,2026-03-02 12:19:08.996511+00:00,2026-03-02 12:19:08.994678+00:00,v3c,3.53.1,35.51142117045729,maximum_sensitivity,17.13921622869935,1680.1442323166907,378.1595621882746,6.3055555555555545,0.3747427100897788,283.6731989365752,6.346963851951484,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3c/2026/01/31/tan20260131t120930c78s4001-A/tan20260131t120930c78s4001-A_l3a-vis-ch4-mfa-v3c_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3c/2026/01/31/tan20260131t120930c78s4001-A/tan20260131t120930c78s4001-A_l3a-vis-ch4-mfa-v3c_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3c/2026/01/31/tan20260131t120930c78s4001-A/tan20260131t120930c78s4001-A_l3a-ime-ch4-mfa-v3c_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3c/2026/01/31/tan20260131t120930c78s4001-A/tan20260131t120930c78s4001-A_l3a-vis-ch4-mfa-v3c_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3c/2026/01/31/tan20260131t120930c78s4001-A/tan20260131t120930c78s4001-A_l3a-vis-ch4-mfa-v3c_rgb.png,,POINT (450292.92316104367 4463642.061417889),91,91,40.33884783338711,-3.615719018581074
tan20251103t120232c40s4001-B,40.3221504714216,-3.589704212812193,2025-11-03T12:02:32+00:00,Solid Waste (6A),CH4,mfa,"[-3.614841088737552, 40.311109184193874, -3.572382961119153, 40.34347756721007]",tan,production,2025-12-03 12:19:10.780734+00:00,2025-12-03 12:19:10.779200+00:00,v3,3.39.1,33.70506506438745,maximum_sensitivity,13.224272236459838,2283.5813670376547,513.1825838546532,1.2037037037037035,0.0472131436443776,290.4196315204924,23.87032741375493,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/11/03/tan20251103t120232c40s4001-B/tan20251103t120232c40s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/11/03/tan20251103t120232c40s4001-B/tan20251103t120232c40s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/11/03/tan20251103t120232c40s4001-B/tan20251103t120232c40s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/11/03/tan20251103t120232c40s4001-B/tan20251103t120232c40s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/11/03/tan20251103t120232c40s4001-B/tan20251103t120232c40s4001-B_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449900.22756044066 4463680.602340023),91,91,40.33884783338711,-3.615719018581074
tan20250915t115602c09s4001-A,40.32032360280297,-3.586738663743432,2025-09-15T11:56:02+00:00,Solid Waste (6A),CH4,mfa,"[-3.6333055535743477, 40.303868602105645, -3.56643210349998, 40.35484869068666]",tan,production,2025-10-15 12:19:10.248129+00:00,2025-10-15 12:19:10.246431+00:00,v3,3.30.3,34.26871842572477,maximum_sensitivity,11.211027376958558,945.31109521221,612.8972468331499,0.8796296296296297,0.5487234218529279,270.12058544016315,39.43104576350166,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/09/15/tan20250915t115602c09s4001-A/tan20250915t115602c09s4001-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/09/15/tan20250915t115602c09s4001-A/tan20250915t115602c09s4001-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/09/15/tan20250915t115602c09s4001-A/tan20250915t115602c09s4001-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/09/15/tan20250915t115602c09s4001-A/tan20250915t115602c09s4001-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/09/15/tan20250915t115602c09s4001-A/tan20250915t115602c09s4001-A_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (450150.83080947294 4463476.150954178),91,91,40.33884783338711,-3.615719018581074
tan20250728t114901c21s4001-B,40.321112314906486,-3.5890504888033434,2025-07-28T11:49:01+00:00,Solid Waste (6A),CH4,mfa,"[-3.620400717999722, 40.30268895448721, -3.5804247744209983, 40.333438922996606]",tan,production,2025-08-27 12:19:00.473620+00:00,2025-08-27 12:19:00.471880+00:00,v3,3.26.0,34.562459388993304,maximum_sensitivity,12.89297034687448,1479.144604099872,115.91894757358524,3.092592592592593,0.0346449758034625,31.998474706116653,3.5598846830310937,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-B/tan20250728t114901c21s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-B/tan20250728t114901c21s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-B/tan20250728t114901c21s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-B/tan20250728t114901c21s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-B/tan20250728t114901c21s4001-B_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449955.00000000006 4463565),91,91,40.33884783338711,-3.615719018581074
tan20250728t114901c21s4001-F,40.32219157515433,-3.5894129856039787,2025-07-28T11:49:01+00:00,Solid Waste (6A),CH4,mfa,"[-3.620400717999722, 40.30268895448721, -3.5804247744209983, 40.333438922996606]",tan,production,2025-08-27 12:19:00.692916+00:00,2025-08-27 12:19:00.691250+00:00,v3,3.26.0,34.562459388993304,maximum_sensitivity,12.89297034687448,,,3.092592592592593,0.0346449758034625,31.998474706116653,3.5598846830310937,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-F/tan20250728t114901c21s4001-F_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-F/tan20250728t114901c21s4001-F_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-F/tan20250728t114901c21s4001-F_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-F/tan20250728t114901c21s4001-F_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/28/tan20250728t114901c21s4001-F/tan20250728t114901c21s4001-F_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449925 4463685),91,91,40.33884783338711,-3.615719018581074
tan20250707t114620c21s4001-C,40.32109428115714,-3.592581435348964,2025-07-07T11:46:20+00:00,Solid Waste (6A),CH4,mfa,"[-3.6161562405824563, 40.301898837601364, -3.575826183166082, 40.332649428428546]",tan,production,2025-08-06 12:22:29.235906+00:00,2025-08-06 12:22:29.234541+00:00,v3,3.26.0,33.960930212341566,maximum_sensitivity,12.93848231173363,1174.0985784192144,515.1503402621736,1.398148148148148,0.5603190840891581,354.9521003781387,26.29245945903978,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-C/tan20250707t114620c21s4001-C_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-C/tan20250707t114620c21s4001-C_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-C/tan20250707t114620c21s4001-C_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-C/tan20250707t114620c21s4001-C_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-C/tan20250707t114620c21s4001-C_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449655 4463565),91,91,40.33884783338711,-3.615719018581074
tan20250707t114620c21s4001-D,40.31786733883423,-3.5893753806467266,2025-07-07T11:46:20+00:00,Solid Waste (6A),CH4,mfa,"[-3.6154401328532213, 40.300821300746364, -3.575110709636896, 40.33157189874342]",tan,production,2025-08-06 12:22:29.328042+00:00,2025-08-06 12:22:29.326458+00:00,v3,3.26.0,33.960930212341566,maximum_sensitivity,12.93848231173363,,,1.398148148148148,0.5603190840891581,354.9521003781387,26.29245945903978,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-D/tan20250707t114620c21s4001-D_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-D/tan20250707t114620c21s4001-D_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-D/tan20250707t114620c21s4001-D_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-D/tan20250707t114620c21s4001-D_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-D/tan20250707t114620c21s4001-D_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449925 4463205),91,91,40.33884783338711,-3.615719018581074
tan20250707t114620c21s4001-G,40.32273210446429,-3.589417686796195,2025-07-07T11:46:20+00:00,Solid Waste (6A),CH4,mfa,"[-3.6161562405824563, 40.301898837601364, -3.575826183166082, 40.332649428428546]",tan,production,2025-08-06 12:22:29.614316+00:00,2025-08-06 12:22:29.612798+00:00,v3,3.26.0,33.960930212341566,maximum_sensitivity,12.93848231173363,,,1.398148148148148,0.5603190840891581,354.9521003781387,26.29245945903978,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-G/tan20250707t114620c21s4001-G_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-G/tan20250707t114620c21s4001-G_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-G/tan20250707t114620c21s4001-G_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-G/tan20250707t114620c21s4001-G_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-G/tan20250707t114620c21s4001-G_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (449925 4463745),91,91,40.33884783338711,-3.615719018581074
tan20250707t114620c21s4001-H,40.32058255372613,-3.5869272382484176,2025-07-07T11:46:20+00:00,Solid Waste (6A),CH4,mfa,"[-3.6161562405824563, 40.301898837601364, -3.575826183166082, 40.332649428428546]",tan,production,2025-08-06 12:22:29.708103+00:00,2025-08-06 12:22:29.706503+00:00,v3,3.26.0,33.960930212341566,maximum_sensitivity,12.93848231173363,,,1.398148148148148,0.5603190840891581,354.9521003781387,26.29245945903978,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-H/tan20250707t114620c21s4001-H_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-H/tan20250707t114620c21s4001-H_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-H/tan20250707t114620c21s4001-H_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-H/tan20250707t114620c21s4001-H_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/07/07/tan20250707t114620c21s4001-H/tan20250707t114620c21s4001-H_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (450135 4463504.999999999),91,91,40.33884783338711,-3.615719018581074
tan20250623t114400c25s4001-B,40.32085639943547,-3.5862233915267505,2025-06-23T11:44:00+00:00,Solid Waste (6A),CH4,mfa,"[-3.604179997129555, 40.305472224930014, -3.5642023198954784, 40.33622225928099]",tan,production,2025-07-23 12:22:10.014732+00:00,2025-07-23 12:22:10.013508+00:00,v3,3.26.0,33.66539755573723,maximum_sensitivity,13.773338003279674,405.2416241547418,315.81665130555706,0.4722222222222222,0.3650074693412412,235.9441955561972,40.65985930098653,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/06/23/tan20250623t114400c25s4001-B/tan20250623t114400c25s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/06/23/tan20250623t114400c25s4001-B/tan20250623t114400c25s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/06/23/tan20250623t114400c25s4001-B/tan20250623t114400c25s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/06/23/tan20250623t114400c25s4001-B/tan20250623t114400c25s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/06/23/tan20250623t114400c25s4001-B/tan20250623t114400c25s4001-B_l3a-vis-ch4-mfa-v3_rgb.png,,POINT (450195 4463535),91,91,40.33884783338711,-3.615719018581074
